codigo;pergunta;categorias
QE_I01;Qual o seu estado civil?;A = Solteiro(a)
QE_I02;Você tem filhos?;A = Não
QE_I03;Qual é a sua cor ou raça?;A = Branca
QE_I04;Você tem alguma deficiência, transtorno global do desenvolvimento ou altas habilidades? (Você pode marcar quantas alternativas considerar necessárias).;A = Não possuo
QE_I05;Alguém em sua família concluiu um curso superior?;A = Sim
QE_I06;Até que etapa de escolarização sua mãe concluiu?;A = Nenhuma
QE_I07;Até que etapa de escolarização seu pai concluiu?;A = Nenhuma
QE_I08;Qual alternativa a seguir melhor descreve sua situação financeira (incluindo bolsas)?;A = Não tenho renda e meus gastos são financiados por programas governamentais
QE_I09;Qual a renda total de sua família, incluindo seus rendimentos? (considere como família a sua unidade de origem composta por pessoas que possuem vínculos consanguíneos e/ou de parentesco, todas moradoras do mesmo domicílio).;A = Até 1,5 salário mínimo (até R$ 2277,00)
QE_I10;Qual alternativa melhor descreve a sua situação de trabalho durante a maior parte do curso? (Excluindo trabalhos acadêmicos e bolsas).;A = Não trabalhei durante o curso
QE_I11;Seu ingresso no curso de graduação se deu por meio de políticas de ação afirmativa ou inclusão social? (Exemplos de políticas de ação afirmativa ou inclusão social são as Cotas e o Prouni.);A = Não
QE_I12;Qual a principal razão para você ter escolhido a sua instituição de educação superior?;A = Gratuidade
QE_I13;Que tipo de bolsa de estudos ou financiamento do curso você recebeu para custear todas ou a maior parte das mensalidades? No caso de haver mais de uma opção, marcar apenas a bolsa de maior duração.;A = Nenhum, pois meu curso é gratuito
QE_I14;Algum fator dificultou sua permanência no ensino superior?;A = Não tive dificuldades
QE_I15;Ao longo da sua trajetória acadêmica, você recebeu algum tipo de auxílio permanência? No caso de haver mais de uma opção, marcar apenas a bolsa de maior duração.;A = Nenhum
QE_I16;Ao longo da sua trajetória acadêmica, você recebeu algum tipo de bolsa acadêmica? (Você pode marcar quantas alternativas considerar necessário).;A = Nenhum
QE_I17;Quantas horas por semana, aproximadamente, você dedicou aos estudos, excetuando as horas de aula?;A = Nenhuma, apenas assisto às aulas
QE_I18;Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária. ;1 = Discordo totalmente
QE_I19;Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e/ou de atividades que estimularam a investigação acadêmica. ;1 = Discordo totalmente
QE_I20;As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional.;1 = Discordo totalmente
QE_I21;As relações professor-aluno ao longo do curso foram positivas, estimulando os estudantes a estudar e aprender.;1 = Discordo totalmente
QE_I22;Os professores apresentaram e discutiram os planos de ensino/curso das disciplinas com os estudantes.;1 = Discordo totalmente
QE_I23;As referências bibliográficas indicadas pelos professores contribuíram para seus estudos e aprendizagens..;1 = Discordo totalmente
QE_I24;As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.;1 = Discordo totalmente
QE_I25;Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.;1 = Discordo totalmente
QE_I26;Os professores utilizaram estratégias e instrumentos de avaliação diversificados (provas, seminários, trabalhos em grupo, portfólio, autoavaliação etc.);1 = Discordo totalmente
QE_I27;Os professores ofereceram devolutivas das avaliações (comentários, explicações, sugestões para melhoria) que auxiliaram os estudantes a avançar em suas aprendizagens.;1 = Discordo totalmente
QE_I28;Os professores estimularam a participação ativa dos estudantes durante as aulas (por meio de atividades em grupo, discussões, seminários etc.) não se limitando às aulas expositivas.;1 = Discordo totalmente
QE_I29;O curso disponibilizou quantidade suficiente de professores e preceptores para auxiliar os estudantes.;1 = Discordo totalmente
QE_I30;As atividades práticas de ensino contemplaram a quantidade adequada de equipamentos em relação aos estudantes. ;1 = Discordo totalmente
QE_I31;Foram oferecidas oportunidades para os estudantes superarem dificuldades relacionadas ao processo de formação. ;1 = Discordo totalmente
QE_I32;A coordenação do curso esteve disponível para orientação acadêmica dos estudantes. ;1 = Discordo totalmente
QE_I33;O curso favoreceu a articulação do conhecimento teórico com atividades práticas. ;1 = Discordo totalmente
QE_I34;O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação. ;1 = Discordo totalmente
QE_I35;As disciplinas cursadas contribuíram para sua formação como profissional. ;1 = Discordo totalmente
QE_I36;As metodologias de ensino utilizadas no curso desafiaram você a se posicionar mais criticamente diante do conhecimento.;1 = Discordo totalmente
QE_I37;Os estudantes participaram de avaliações periódicas das condições de formação (disciplinas, atuação dos professores, infraestrutura).;1 = Discordo totalmente
QE_I38;O curso proporcionou condições de acesso adequado às bibliografias indicadas nas disciplinas, de forma física ou virtual.;1 = Discordo totalmente
QE_I39;As salas de aula apresentaram tamanho, mobiliário e recursos tecnológicos adequados.;1 = Discordo totalmente
QE_I40;Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso e à quantidade de estudantes.;1 = Discordo totalmente
QE_I41;Os laboratórios de habilidades e simulação de atividade assistencial permitiram a capacitação dos estudantes nas diversas competências desenvolvidas nas diferentes fases do curso.  ;1 = Discordo totalmente
QE_I42;Foram realizadas simulações de alta fidelidade em diferentes etapas do curso.;1 = Discordo totalmente
QE_I43;A integração do curso com o sistema de saúde viabilizou a formação do estudante em serviço, conforme necessidades locais e regionais.;1 = Discordo totalmente
QE_I44;Integrar conhecimentos básicos e clínicos na atenção integral à saúde de indivíduos e comunidades, considerando os princípios do SUS.;1 = Discordo totalmente
QE_I45;Realizar o cuidado em saúde com base em práticas éticas, humanizadas e orientadas para a promoção, prevenção, recuperação e reabilitação da saúde.;1 = Discordo totalmente
QE_I46;Utilizar evidências científicas para fundamentar a tomada de decisão clínica e terapêutica, em diferentes níveis de atenção à saúde.;1 = Discordo totalmente
QE_I47;Vivenciar a formação a partir de metodologias ativas, como aprendizagem baseada em problemas (PBL) e simulação.;1 = Discordo totalmente
QE_I48;Praticar medicina por meio de estágios supervisionados em diferentes níveis de atenção à saúde (primária, secundária e terciária), articulados às redes públicas de saúde.;1 = Discordo totalmente
QE_I49;Praticar medicina por meio de estágios supervisionados em diferentes níveis de atenção à saúde (primária, secundária e terciária), articulados às redes privadas de saúde.;1 = Discordo totalmente
QE_I50;Estabelecer comunicação efetiva com usuários do sistema de saúde, familiares, equipes de saúde e a comunidade, respeitando aspectos éticos e culturais.;1 = Discordo totalmente
